Year,3-year,5-year,7-year,10-year,15-year,20-year
1,58.33%,35.00%,25.00%,17.50%,8.75%,6.563%
2,27.78%,26.00%,21.43%,16.50%,9.13%,7.000%
3,12.35%,15.60%,15.31%,13.20%,8.21%,6.482%
4,1.54%,11.01%,10.93%,10.56%,7.39%,5.996%
5,0,11.01%,8.75%,8.45%,6.65%,5.546%
6,0,1.38%,8.74%,6.76%,5.99%,5.130%
7,0,0,8.75%,6.55%,5.90%,4.746%
8,0,0,1.09%,6.55%,5.91%,4.459%
9,0,0,0,6.56%,5.90%,4.459%
10,0,0,0,6.55%,5.91%,4.459%
11,0,0,0,0.82%,5.90%,4.459%
12,0,0,0,0,5.91%,4.460%
13,0,0,0,0,5.90%,4.459%
14,0,0,0,0,5.91%,4.460%
15,0,0,0,0,5.90%,4.459%
16,0,0,0,0,0.74%,4.460%
17,0,0,0,0,0,4.460%
18,0,0,0,0,0,4.460%
19,0,0,0,0,0,4.459%
20,0,0,0,0,0,4.460%
21,0,0,0,0,0,0.565%
